session_id,customer_id,session_timestamp,device_type,pages_viewed,session_duration_seconds
20260917-PM-S00045,177.0,2026-09-17 07:43:00,Tablet,15,324
20260917-PM-S00046,266.0,2026-09-17 19:59:00,Desktop,10,321
20260917-PM-S00047,191.0,2026-09-17 14:12:00,Tablet,3,482
20260917-PM-S00048,17.0,2026-09-17 22:15:00,Desktop,14,702
20260917-PM-S00049,113.0,2026-09-17 18:36:00,Desktop,5,1040
20260917-PM-S00050,149.0,2026-09-17 08:57:00,Desktop,10,497
20260917-PM-S00051,117.0,2026-09-17 04:06:00,Tablet,6,93
20260917-PM-S00052,12.0,2026-09-17 06:50:00,Mobile,3,1541
20260917-PM-S00053,273.0,2026-09-17 20:26:00,Mobile,2,1462
20260917-PM-S00054,34.0,2026-09-17 18:39:00,Mobile,13,205
20260917-PM-S00055,158.0,2026-09-17 04:54:00,Mobile,14,1554
20260917-PM-S00056,294.0,2026-09-17 03:29:00,Tablet,11,695
20260917-PM-S00057,122.0,2026-09-17 02:52:00,Tablet,10,708
20260917-PM-S00058,189.0,2026-09-17 03:17:00,Mobile,6,537
20260917-PM-S00059,182.0,2026-09-17 15:06:00,Desktop,11,1430
20260917-PM-S00060,143.0,2026-09-17 00:17:00,Desktop,9,938
20260917-PM-S00061,149.0,2026-09-17 17:10:00,Desktop,7,493
20260917-PM-S00062,117.0,2026-09-17 03:27:00,Desktop,6,1141
20260917-PM-S00063,29.0,2026-09-17 01:55:00,Desktop,10,1228
20260917-PM-S00064,253.0,2026-09-17 21:35:00,Desktop,13,179
20260917-PM-S00065,120.0,2026-09-17 05:44:00,Tablet,8,1584
20260917-PM-S00066,120.0,2026-09-17 15:12:00,Desktop,9,675
20260917-PM-S00067,195.0,2026-09-17 14:46:00,Mobile,8,976
20260917-PM-S00068,3.0,2026-09-17 18:40:00,Tablet,15,1275
20260917-PM-S00069,160.0,2026-09-17 04:00:00,Mobile,1,1080
20260917-PM-S00070,78.0,2026-09-17 18:25:00,Desktop,3,155
20260917-PM-S00071,127.0,2026-09-17 14:54:00,Desktop,6,779
20260917-PM-S00072,233.0,2026-09-17 04:15:00,Mobile,7,1468
20260917-PM-S00073,94.0,2026-09-17 15:31:00,Mobile,9,471
20260917-PM-S00074,105.0,2026-09-17 22:52:00,Desktop,14,294
20260917-PM-S00075,82.0,2026-09-17 20:09:00,Mobile,11,1376
20260917-PM-S00076,289.0,2026-09-17 18:02:00,Mobile,12,1251
20260917-PM-S00077,232.0,2026-09-17 19:40:00,Desktop,11,381
20260917-PM-S00078,297.0,2026-09-17 02:56:00,Tablet,14,846
20260917-PM-S00079,178.0,2026-09-17 05:01:00,Mobile,5,1367
20260917-PM-S00080,18.0,2026-09-17 12:51:00,Desktop,7,1584
20260917-PM-S00081,75.0,2026-09-17 13:19:00,Tablet,10,1580
20260917-PM-S00082,12.0,2026-09-17 03:11:00,Tablet,4,1516
20260917-PM-S00083,129.0,2026-09-17 19:40:00,Tablet,14,1750
20260917-PM-S00084,217.0,2026-09-17 04:28:00,Desktop,2,1175
20260917-PM-S00085,252.0,2026-09-17 11:25:00,Tablet,2,902
20260917-PM-S00086,230.0,2026-09-17 04:15:00,Tablet,6,1524
20260917-PM-S00087,14.0,2026-09-17 12:37:00,Desktop,1,1155
20260917-PM-S00088,81.0,2026-09-17 20:41:00,Desktop,15,492
20260917-PM-S00089,161.0,2026-09-17 23:25:00,Mobile,3,1538
20260917-PM-S00090,163.0,2026-09-17 22:48:00,Desktop,14,651
20260917-PM-S00091,73.0,2026-09-17 00:05:00,Mobile,11,1684
20260917-PM-S00092,49.0,2026-09-17 05:52:00,Tablet,14,1699
20260917-PM-S00093,257.0,2026-09-17 15:05:00,Tablet,9,1270
20260917-PM-S00094,23.0,2026-09-17 15:23:00,Tablet,5,807
20260917-PM-S00095,247.0,2026-09-17 09:01:00,Tablet,4,1489
20260917-PM-S00096,223.0,2026-09-17 05:00:00,Mobile,1,1642
20260917-PM-S00097,101.0,2026-09-17 11:04:00,Desktop,5,645
20260917-PM-S00098,257.0,2026-09-17 21:19:00,Desktop,11,1063
20260917-PM-S00099,197.0,2026-09-17 12:40:00,Desktop,9,1404
20260917-PM-S00100,180.0,2026-09-17 15:43:00,Desktop,12,1732
20260917-PM-S00101,231.0,2026-09-17 17:28:00,Tablet,5,653
20260917-PM-S00102,170.0,2026-09-17 23:34:00,Tablet,8,1127
20260917-PM-S00103,240.0,2026-09-17 23:29:00,Mobile,15,309
20260917-PM-S00104,19.0,2026-09-17 09:01:00,Tablet,12,527
20260917-PM-S00105,45.0,2026-09-17 21:28:00,Mobile,1,1412
20260917-PM-S00106,145.0,2026-09-17 05:41:00,Tablet,11,81
20260917-PM-S00107,245.0,2026-09-17 16:18:00,Tablet,9,482
20260917-PM-S00108,290.0,2026-09-17 15:14:00,Desktop,6,260
20260917-PM-S00109,171.0,2026-09-17 21:04:00,Tablet,5,1053
20260917-PM-S00110,143.0,2026-09-17 18:38:00,Desktop,7,367
20260917-PM-S00111,59.0,2026-09-17 16:17:00,Mobile,5,1236
20260917-PM-S00112,68.0,2026-09-17 15:54:00,Mobile,7,488
20260917-PM-S00113,292.0,2026-09-17 06:59:00,Mobile,4,146
20260917-PM-S00114,141.0,2026-09-17 16:57:00,Mobile,13,1328
20260917-PM-S00115,4.0,2026-09-17 07:15:00,Tablet,13,1509
20260917-PM-S00116,48.0,2026-09-17 03:14:00,Tablet,1,478
20260917-PM-S00117,123.0,2026-09-17 21:32:00,Tablet,14,1537
20260917-PM-S00118,134.0,2026-09-17 09:21:00,Desktop,7,640
20260917-PM-S00119,156.0,2026-09-17 17:44:00,Mobile,5,540
20260917-PM-S00120,190.0,2026-09-17 20:12:00,Desktop,2,1398
20260917-PM-S00121,188.0,2026-09-17 08:30:00,Desktop,11,49
20260917-PM-S00122,74.0,2026-09-17 08:52:00,Desktop,12,456
20260917-PM-S00123,89.0,2026-09-17 11:12:00,Mobile,15,507
20260917-PM-S00124,271.0,2026-09-17 01:52:00,Mobile,6,832
20260917-PM-S00125,220.0,2026-09-17 04:01:00,Tablet,1,1402
20260917-PM-S00126,107.0,2026-09-17 11:24:00,Mobile,13,213
20260917-PM-S00127,210.0,2026-09-17 20:36:00,Tablet,14,1321
20260917-PM-S00128,297.0,2026-09-17 05:55:00,Mobile,14,1660
20260917-PM-S00129,200.0,2026-09-17 21:00:00,Tablet,2,1138
20260917-PM-S00130,233.0,2026-09-17 11:14:00,Tablet,14,569
20260917-PM-S00131,113.0,2026-09-17 14:27:00,Desktop,5,1503
20260917-PM-S00132,52.0,2026-09-17 17:09:00,Desktop,5,1002
20260917-PM-S00133,174.0,2026-09-17 19:08:00,Desktop,5,1591
20260917-PM-S00134,272.0,2026-09-17 17:41:00,Tablet,3,764
20260917-PM-S00135,61.0,2026-09-17 04:40:00,Desktop,3,1637
20260917-PM-S00136,86.0,2026-09-17 06:30:00,Desktop,5,604
20260917-PM-S00137,247.0,2026-09-17 06:16:00,Desktop,2,501
20260917-PM-S00138,74.0,2026-09-17 22:40:00,Desktop,2,248
20260917-PM-S00139,56.0,2026-09-17 23:05:00,Tablet,6,171
20260917-PM-S00140,44.0,2026-09-17 04:21:00,Desktop,12,544
20260917-PM-S00141,36.0,2026-09-17 16:01:00,Mobile,13,74
20260917-PM-S00142,38.0,2026-09-17 21:27:00,Mobile,8,863
20260917-PM-S00143,149.0,2026-09-17 15:21:00,Tablet,6,186
20260917-PM-S00144,218.0,2026-09-17 18:21:00,Mobile,14,322
20260917-PM-S00145,172.0,2026-09-17 03:02:00,Desktop,8,1728
20260917-PM-S00146,110.0,2026-09-17 17:30:00,Tablet,10,235
20260917-PM-S00147,2.0,2026-09-17 08:42:00,Mobile,8,1051
20260917-PM-S00148,215.0,2026-09-17 00:57:00,Mobile,15,1660
20260917-PM-S00149,102.0,2026-09-17 11:03:00,Tablet,13,1101
20260917-PM-S00150,113.0,2026-09-17 15:06:00,Mobile,9,1645
20260917-PM-S00151,297.0,2026-09-17 01:15:00,Mobile,7,768
20260917-PM-S00152,125.0,2026-09-17 03:10:00,Mobile,7,856
20260917-PM-S00153,137.0,2026-09-17 07:40:00,Tablet,1,1052
20260917-PM-S00154,18.0,2026-09-17 12:39:00,Desktop,4,1129
20260917-PM-S00155,238.0,2026-09-17 14:39:00,Mobile,3,1670
20260917-PM-S00156,234.0,2026-09-17 09:37:00,Tablet,5,80
20260917-PM-S00157,36.0,2026-09-17 18:40:00,Desktop,3,549
20260917-PM-S00158,45.0,2026-09-17 08:15:00,Tablet,9,342
20260917-PM-S00159,259.0,2026-09-17 11:21:00,Desktop,12,567
20260917-PM-S00160,203.0,2026-09-17 10:53:00,Desktop,6,1314
20260917-PM-S00161,243.0,2026-09-17 03:40:00,Tablet,10,731
20260917-PM-S00162,223.0,2026-09-17 12:04:00,Tablet,4,863
20260917-PM-S00163,248.0,2026-09-17 20:42:00,Desktop,6,894
20260917-PM-S00164,122.0,2026-09-17 14:10:00,Desktop,3,133
20260917-PM-S00165,111.0,2026-09-17 16:45:00,Desktop,15,489
20260917-PM-S00166,25.0,2026-09-17 02:24:00,Tablet,8,727
20260917-PM-S00167,3.0,2026-09-17 11:45:00,Mobile,6,1549
20260917-PM-S00168,209.0,2026-09-17 17:52:00,Desktop,2,1637
20260917-PM-S00169,299.0,2026-09-17 17:21:00,Mobile,11,1631
20260917-PM-S00170,289.0,2026-09-17 05:30:00,Desktop,7,1480
20260917-PM-S00171,236.0,2026-09-17 23:24:00,Desktop,9,540
20260917-PM-S00172,98.0,2026-09-17 21:22:00,Mobile,13,1431
20260917-PM-S00173,209.0,2026-09-17 23:57:00,Tablet,7,267
20260917-PM-S00174,231.0,2026-09-17 13:51:00,Tablet,9,228
20260917-PM-S00175,135.0,2026-09-17 12:39:00,Desktop,1,85
20260917-PM-S00176,184.0,2026-09-17 14:45:00,Mobile,3,1773
20260917-PM-S00177,247.0,2026-09-17 23:43:00,Mobile,10,203
20260917-PM-S00178,161.0,2026-09-17 11:33:00,Tablet,12,931
20260917-PM-S00179,128.0,2026-09-17 22:26:00,Tablet,11,556
20260917-PM-S00180,122.0,2026-09-17 13:06:00,Tablet,11,1186
20260917-PM-S00181,214.0,2026-09-17 12:15:00,Tablet,3,990
20260917-PM-S00182,184.0,2026-09-17 13:06:00,Tablet,7,743
20260917-PM-S00183,111.0,2026-09-17 08:47:00,Mobile,8,1411
20260917-PM-S00184,190.0,2026-09-17 14:25:00,Desktop,6,1231
20260917-PM-S00185,235.0,2026-09-17 19:56:00,Mobile,10,206
20260917-PM-S00186,175.0,2026-09-17 20:18:00,Mobile,9,882
20260917-PM-S00187,187.0,2026-09-17 16:51:00,Desktop,1,958
20260917-PM-S00188,280.0,2026-09-17 16:58:00,Tablet,2,884
20260917-PM-S00189,215.0,2026-09-17 12:10:00,Mobile,13,614
20260917-PM-S00190,239.0,2026-09-17 10:34:00,Tablet,5,782
20260917-PM-S00191,113.0,2026-09-17 12:54:00,Mobile,14,1587
20260917-PM-S00192,9.0,2026-09-17 00:39:00,Desktop,1,1311
20260917-PM-S00193,243.0,2026-09-17 07:55:00,Mobile,1,340
20260917-PM-S00194,104.0,2026-09-17 12:33:00,Desktop,12,461
20260917-PM-S00195,258.0,2026-09-17 18:29:00,Desktop,6,1632
20260917-PM-S00196,121.0,2026-09-17 20:49:00,Tablet,6,109
20260917-PM-S00197,178.0,2026-09-17 21:59:00,Desktop,8,792
20260917-PM-S00198,243.0,2026-09-17 11:35:00,Mobile,3,379
20260917-PM-S00199,73.0,2026-09-17 10:14:00,Desktop,9,336
20260917-PM-S00200,246.0,2026-09-17 23:43:00,Tablet,12,87
